id,code,week,material,sec
1,TP,Week 08,agenda,overview
1,TP,Week 08,agenda,overview
1,TP,Week 08,agenda,overview
1,SP,Week 08,agenda,overview
1,SP,Week 08,agenda,overview
1,SP,Week 08,agenda,overview
2,SP,Week 08,agenda,assignment01
2,SP,Week 08,agenda,assignment01
2,TP,Week 08,agenda,assignment01
2,TP,Week 08,agenda,assignment01
2,TP,Week 08,agenda,assignment01
2,TP,Week 08,agenda,assignment01
2,TP,Week 08,agenda,assignment01
3,TP,Week 08,agenda,assignment02
3,TP,Week 08,agenda,assignment02
3,TP,Week 08,agenda,assignment02
3,TP,Week 08,agenda,assignment02
3,SP,Week 08,agenda,assignment02
3,SP,Week 08,agenda,assignment02
3,SP,Week 08,agenda,assignment02
3,TP,Week 08,agenda,assignment02
3,TP,Week 08,agenda,assignment02
3,SP,Week 08,agenda,assignment02
4,TP,Week 08,agenda,assignment03
4,TP,Week 08,agenda,assignment03
5,TP,Week 08,agenda,assignment04
5,TP,Week 08,agenda,assignment04
5,TP,Week 08,agenda,assignment04
5,TP,Week 08,agenda,assignment04
6,TP,Week 08,agenda,assignment05
6,TP,Week 08,agenda,assignment05
6,TP,Week 08,agenda,assignment05
6,TP,Week 08,agenda,assignment05
6,TP,Week 08,agenda,assignment05
7,TP,Week 08,agenda,assignment06
7,TP,Week 08,agenda,assignment06
7,SP,Week 08,agenda,assignment06
7,SP,Week 08,agenda,assignment06
8,TP,Week 08,agenda,question
8,TP,Week 08,agenda,question
8,SP,Week 08,agenda,question
9,SP,Week 08,video,timeslot1
9,SP,Week 08,video,timeslot1
9,TP,Week 08,video,timeslot1
10,TP,Week 08,video,timeslot2
10,TP,Week 08,video,timeslot2
10,SP,Week 08,video,timeslot2
10,SP,Week 08,video,timeslot2
10,SP,Week 08,video,timeslot2
10,SP,Week 08,video,timeslot2
10,TP,Week 08,video,timeslot2
11,SP,Week 08,video,timeslot3
11,SP,Week 08,video,timeslot3
11,TP,Week 08,video,timeslot3
12,TP,Week 08,video,timeslot4
12,TP,Week 08,video,timeslot4
12,TP,Week 08,video,timeslot4
12,SP,Week 08,video,timeslot4
13,TP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
13,CP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
13,SP,Week 08,video,timeslot5
13,SP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
13,TP,Week 08,video,timeslot5
14,SP,Week 08,video,timeslot6
14,TP,Week 08,video,timeslot6
14,SP,Week 08,video,timeslot6
15,TP,Week 08,video,timeslot7
15,TP,Week 08,video,timeslot7
15,SP,Week 08,video,timeslot7
15,SP,Week 08,video,timeslot7
16,TP,Week 08,video,timeslot8
16,SP,Week 08,video,timeslot8
16,SP,Week 08,video,timeslot8
16,SP,Week 08,video,timeslot8
17,TP,Week 08,discussion,discussion post
17,TP,Week 08,discussion,discussion post
17,TP,Week 08,discussion,discussion post
17,TP,Week 08,discussion,discussion post
17,TP,Week 08,discussion,discussion post
17,SP,Week 08,discussion,discussion post
17,TP,Week 08,discussion,discussion post
17,TP,Week 08,discussion,discussion post
